signal_time,candle_1_open,candle_1_high,candle_1_low,candle_1_close,candle_1_vol,candle_2_open,candle_2_high,candle_2_low,candle_2_close,candle_2_vol,candle_3_open,candle_3_high,candle_3_low,candle_3_close,candle_3_vol,entry_price,result,pnl_pct,candles_held
2025-09-01 00:30:00,108246.36,108332.35,107970.65,107970.66,422.51571,107970.66,108077.06,107631.68,107823.71,285.77887,107823.71,108218.49,107676.76,108167.15,259.91916,108167.15,TP,0.22,5
2025-09-01 00:45:00,107970.66,108077.06,107631.68,107823.71,285.77887,107823.71,108218.49,107676.76,108167.15,259.91916,108167.15,108406.18,108084.0,108222.37,110.60836,108222.37,TP,0.22,3
2025-09-01 01:00:00,107823.71,108218.49,107676.76,108167.15,259.91916,108167.15,108406.18,108084.0,108222.37,110.60836,108222.37,108355.0,107968.09,108143.65,101.07012,108143.65,TP,0.22,4
2025-09-01 01:15:00,108167.15,108406.18,108084.0,108222.37,110.60836,108222.37,108355.0,107968.09,108143.65,101.07012,108143.65,108286.99,108014.0,108241.63,96.1696,108241.63,TP,0.22,1
2025-09-01 01:30:00,108222.37,108355.0,107968.09,108143.65,101.07012,108143.65,108286.99,108014.0,108241.63,96.1696,108241.63,108299.3,108052.0,108299.29,135.78212,108299.29,TP,0.22,1
2025-09-01 01:45:00,108143.65,108286.99,108014.0,108241.63,96.1696,108241.63,108299.3,108052.0,108299.29,135.78212,108299.29,108482.98,107980.0,108150.24,138.19378,108150.24,TP,0.22,1
2025-09-01 02:00:00,108241.63,108299.3,108052.0,108299.29,135.78212,108299.29,108482.98,107980.0,108150.24,138.19378,108150.24,108197.67,107921.18,107970.59,156.30884,107970.58,TP,0.22,1
2025-09-01 02:15:00,108299.29,108482.98,107980.0,108150.24,138.19378,108150.24,108197.67,107921.18,107970.59,156.30884,107970.58,107980.0,107565.99,107688.19,307.49225,107688.19,TP,0.22,1
2025-09-01 02:30:00,108150.24,108197.67,107921.18,107970.59,156.30884,107970.58,107980.0,107565.99,107688.19,307.49225,107688.19,107707.33,107525.51,107562.56,179.82548,107562.56,TP,0.22,6
2025-09-01 02:45:00,107970.58,107980.0,107565.99,107688.19,307.49225,107688.19,107707.33,107525.51,107562.56,179.82548,107562.56,107732.96,107425.42,107617.05,226.19025,107617.05,TP,0.22,5
2025-09-01 03:00:00,107688.19,107707.33,107525.51,107562.56,179.82548,107562.56,107732.96,107425.42,107617.05,226.19025,107617.05,107769.94,107473.22,107530.32,171.19847,107530.33,TP,0.22,5
2025-09-01 03:15:00,107562.56,107732.96,107425.42,107617.05,226.19025,107617.05,107769.94,107473.22,107530.32,171.19847,107530.33,107632.79,107447.44,107505.21,208.40658,107505.21,TP,0.22,6
2025-09-01 03:30:00,107617.05,107769.94,107473.22,107530.32,171.19847,107530.33,107632.79,107447.44,107505.21,208.40658,107505.21,107556.54,107393.0,107556.54,172.656,107556.54,TP,0.22,2
2025-09-01 03:45:00,107530.33,107632.79,107447.44,107505.21,208.40658,107505.21,107556.54,107393.0,107556.54,172.656,107556.54,107722.49,107437.81,107660.01,234.22538,107660.0,TP,0.22,1
2025-09-01 04:00:00,107505.21,107556.54,107393.0,107556.54,172.656,107556.54,107722.49,107437.81,107660.01,234.22538,107660.0,107759.99,107516.28,107729.97,157.13789,107729.98,TP,0.22,1
2025-09-01 04:15:00,107556.54,107722.49,107437.81,107660.01,234.22538,107660.0,107759.99,107516.28,107729.97,157.13789,107729.98,107743.47,107300.4,107467.42,243.59522,107467.41,SL,-0.5,7
2025-09-01 04:30:00,107660.0,107759.99,107516.28,107729.97,157.13789,107729.98,107743.47,107300.4,107467.42,243.59522,107467.41,107467.41,107280.0,107309.91,134.35069,107309.9,SL,-0.5,3
2025-09-01 04:45:00,107729.98,107743.47,107300.4,107467.42,243.59522,107467.41,107467.41,107280.0,107309.91,134.35069,107309.9,107459.03,107279.51,107409.1,110.74458,107409.09,SL,-0.5,2
2025-09-01 05:00:00,107467.41,107467.41,107280.0,107309.91,134.35069,107309.9,107459.03,107279.51,107409.1,110.74458,107409.09,107721.76,107255.44,107356.0,203.16554,107356.0,SL,-0.5,1
2025-09-01 05:15:00,107309.9,107459.03,107279.51,107409.1,110.74458,107409.09,107721.76,107255.44,107356.0,203.16554,107356.0,107732.04,107255.0,107715.74,188.7849,107715.74,SL,-0.5,7
2025-09-01 05:30:00,107409.09,107721.76,107255.44,107356.0,203.16554,107356.0,107732.04,107255.0,107715.74,188.7849,107715.74,107987.4,107653.38,107945.64,102.13993,107945.64,TP,0.22,1
2025-09-01 05:45:00,107356.0,107732.04,107255.0,107715.74,188.7849,107715.74,107987.4,107653.38,107945.64,102.13993,107945.64,107960.0,107828.39,107866.12,53.70248,107866.13,SL,-0.5,5
2025-09-01 06:00:00,107715.74,107987.4,107653.38,107945.64,102.13993,107945.64,107960.0,107828.39,107866.12,53.70248,107866.13,107944.0,107594.42,107936.0,122.78803,107935.99,SL,-0.5,5
2025-09-01 06:15:00,107945.64,107960.0,107828.39,107866.12,53.70248,107866.13,107944.0,107594.42,107936.0,122.78803,107935.99,108036.81,107793.24,107936.76,109.39719,107936.76,SL,-0.5,4
2025-09-01 06:30:00,107866.13,107944.0,107594.42,107936.0,122.78803,107935.99,108036.81,107793.24,107936.76,109.39719,107936.76,108115.94,107924.5,108101.45,85.25886,108101.44,SL,-0.5,3
2025-09-01 06:45:00,107935.99,108036.81,107793.24,107936.76,109.39719,107936.76,108115.94,107924.5,108101.45,85.25886,108101.44,108128.0,108015.42,108064.75,67.14641,108064.76,SL,-0.5,2
2025-09-01 07:00:00,107936.76,108115.94,107924.5,108101.45,85.25886,108101.44,108128.0,108015.42,108064.75,67.14641,108064.76,108175.0,108001.0,108001.0,123.37589,108001.0,SL,-0.5,1
